normalized_title_data,normalized_abstract_data,labels
chemical reprogramming of human glial cells into neurons for brain and spinal cord repair,"provided are methods and compositions from reprogramming human glial cells into human neurons. the reprogramming is achieved using combinations of compounds that can modify signaling via transforming growth factor beta (tgf-β), bone morphogenetic protein (bmp), glycogen synthase kinase 3 (gsk-3), and γ-secretase/notch pathways. the reprogramming is demonstrated using groups of three or four compounds that are chosen from the group thiazovivin, ldn193189, sb431542, ttnpb, chir99021, dapt, vpa, sag purmorphamine. reprogramming is demonstrated using the group of ldn193189/chir99021/dapt, the group of b431542/chir99021/dapt, the group of ldn193189/dapt/sb431542, the group of ldn193189/chir99021/sb431542, a three drug combination of sb431542/chir99021/dapt. reprogramming using functional analogs of the compounds is also provided, as are pharmaceutical formulations that contain the drug combinations.",1
therapeutic vitamin d conjugates,the invention provides a parathyroid hormone (pth) compound comprising a pth peptide. the pth compound has a significantly increased bioavailability or circulating half-life when compared to a bioavailability or a circulating half-life of a native form of the pth peptide. the pth compound has a significantly greater serum concentration at multiple timepoints post-administration to a rat when compared to that of a native pth peptide.,1
methods and compositions of inhibiting dcn1-ubc12 interaction,"in one aspect, the invention relates to substituted 1-phenyl-3-(piperidin-4-yl)urea analogs, derivatives thereof, and related compounds, which are useful as inhibitors of the dcn1-ubc12 interaction inhibitors of dcn1-mediated cullin-ring ligase activity, methods of making same, pharmaceutical compositions comprising same, methods of treating disorders using the disclosed compounds and compositions, methods of treating disorders associated with a dcn1-ubc12 interaction dysfunction, methods of treating disorders associated with a dcn1-mediated cullin-ring ligase activity dysfunction, methods of male contraception comprising the disclosed compounds and compositions, and kits comprising the disclosed compounds and compositions. this abstract is intended as a scanning tool for purposes of searching in the particular art and is not intended to be limiting of the present invention.",1
adaptive analog-to-digital converter for pulsed signals based on multi-bit sigma-delta modulation,"a delta sigma modulator includes a summation circuit, at least one integrator, a multi-bit quantizer and a negative feedback circuit. the summation circuit is configured to produce a difference signal between an analog input signal and an analog feedback signal. the integrator is operatively coupled to the summation circuit to integrate the difference signal. the multi-bit quantizer is operatively coupled to the integrator to digitize the integrated signal to generate an n-bit digital output signal, n being an integer greater than 1. the negative feedback circuit operatively couples the multi-bit quantizer to the summation circuit. the negative feedback circuit includes a digital-to-analog converter arrangement for receiving the n-bit digital output signal and providing the analog feedback signal such that digital values of the n-bit digital output signal and values of the analog feedback encoded by the digital values have a non-linear relationship to one another.",1
drug delivery systems containing oxidized cholesterols,"lipid nanoparticles and compositions thereof are disclosed herein. an exemplary nanoparticle composition includes an ionizable lipid, a phospholipid, a peg-lipid, and a cholesterol modified with a hydroxyl group near the d-sterol ring. the disclosed nanoparticle compositions can target liver kupffer cells and endothelial cells more preferentially than hepatocytes which should be beneficial in treating liver diseases in which dysfunctional kupffer cells and endothelial cells are involved in disease pathogenesis.",1
molecular genetic approach to treatment and diagnosis of alcohol and drug dependence,"compositions and methods are provided that are useful for diagnosing, treating, and monitoring alcohol dependence and disorders, susceptibility to alcohol dependence disorders, as well as drug related dependence and disorders. the methods include treating patients with an antagonist of the serotonin receptor 5-ht3 for such disorders, wherein the patient's serotonin transporter gene slc6a4 is known to have particular genotypes.",1
dna methyltransferase 1 transition state structure and uses thereof,methods and systems for obtaining inhibitors of human dna methyltransferase 1 (dnmt1) are disclosed where the methods involve designing compounds that resemble the dnmt1 transition state.,1
apparatus and methods for mirror tunnel imaging device and for providing pseudobessel beams in a miniaturized optical system for imaging,"exemplary apparatus and method are provided for illuminating a sample. with such exemplary apparatus and/or method, it is possible to, using at least one source arrangement, provide at least one first electro-magnetic radiation. using an optical system of an optics arrangement, it is possible to receive the first electro-magnetic radiation(s), and modifying the at least one first electro-magnetic radiation to be at least one second electro-magnetic radiation so as to be forwarded to the sample. further, with the optical system, it is possible to extend the at least one second electro-magnetic radiation into or across the sample for a distance of at least 2 times the raleigh range of a gaussian beam when the optics arrangement and the sample are stationary with respect to one another. additionally, using the optical system, it is possible to control a placement of a focus of the at least one second electro-magnetic radiation on or in the sample.",1
genome engineering methods using a cytosine-specific cas9,"described herein are methods and compositions for rapid and precise genome editing at any desired genomic position in almost all cells and organisms. the methods utilize a cytosine-specific cas9 endonuclease and are suitable for applications requiring targeting cytosine adjacent dna. the methods generally include introducing a cytosine-specific cas9 endonuclease, a single guide rna, and optionally a dna repair template that is utilized in either non-homologous end joining or homology directed repair. the methods can be used to effect gene knockout, gene knockdown, gene substitution, or gene introduction in cells and organisms.",1
compositions and methods for analyte detection,methods of making a three-dimensional matrix of nucleic acids within a cell is provided.,1
il-7r-alpha specific antibodies for treating acute lymphoblastic leukemia,"antibodies and antigen binding fragments that specifically bind to il-7rα are disclosed. nucleic acids encoding the antibodies and antigen binding fragments, and vectors including the nucleic acid molecules are also provided. methods for detecting a ca cancer or a cell that expresses il-7rα using the antibodies and antigen binding fragments are disclosed, as is the use of the antibodies and antigen binding fragments to prevent and/or treat a subject with a cancer that expresses il-7rα, such as acute lymphoblastic leukemia.",1
use of a small native peptide activator of serca pump for treatment of heart failure and other disorders characterized by cytosolic calcium overload,"the present disclosure describes a new native peptide designated herein as dwarf open reading frame, or dworf. this peptide enhances the apparent activity of the serca pump, is positively inotropic and lusitropic, and therefore is provided as a therapeutic agent for disorders characterized by cytosolic calcium overload.",1
inhibitor of apoptosis protein (iap) antagonists,"provided herein are compounds that modulate the activity of inhibitor of apoptosis proteins (iaps), compositions comprising the compounds, and methods of using the compounds and compositions comprising the compounds.",1
assay wells with hydrogel as a well-contents separator,"in a polymer assay cartridge having wells containing reagents, beads and sample, where the wells are covered (e.g., with parafilm® or films) and shipped to the point of care, the reagents and well contents can leak out. the reagent solutions are made semi-solid by adding hydrogel reagents and cooling to form a gel. preferably, the hydrogel is heated before an assay is conducted with the cartridge, and pigmented beads in the wells indicate melting or excessive heating, or congealing of the hydrogel, based on pigment color change.",1
c-mannoside compounds useful for the treatment of urinary tract infections,disclosed herein are new c-mannoside compounds and compositions and their application as pharmaceuticals for the treatment of human disease. methods of inhibition of fimh activity in a human subject are also provided for the treatment diseases such as urinary tract infection.,1
balanced cone excitation for controlling refractive error and ocular growth to inhibit development of myopia,"a myopia-inhibiting treatment device produces a therapeutic light that includes components of different wavelengths in a ratio of luminosities that creates a predetermined l-cone to s-cone excitation profile that slows ocular growth, thereby mitigating development of myopia. the components comprise blue light, green light, and red light. therapeutic light may cause an l-cone to s-cone excitation ratio in a range between 1.38 and 0.05. in some implementations the therapeutic light causes a l-cone to s-cone excitation ratio of 0.74. in some implementations the luminosity of the combined light components is greater than 700 lux.",1
bactericidal methods and compositions,methods of the present invention comprise photoinactivation of catalase in combination with low-concentration peroxide solutions and/or ros generating agents to provide antibacterial effects.,1
live attenuated parasitic vaccine,"disclosed herein is an avirulent live vaccine that involves a recombinant protozoan from the order trypanosomatida having a knocked out or silenced cyclophilin gene, wherein the cyclophilin gene comprises t. cruzi cyclophilin 19 (tccyp19) gene, or an orthologue thereof. also disclosed is a method or inducing a protective immune response in a subject that involves administering to the subject a vaccine disclosed herein. also disclosed is a method of treating or preventing chagas disease, african trypanosomiasis, and/or leishmaniasis in a subject that involves administering to the subject a vaccine disclosed herein.",1
pd-1 related cancer therapy,"provided are compositions and methods for identifying individuals with cancer who will benefit from pd-1 inhibitor therapy. the method comprises determining levels of signaling lymphocyte activation molecule-associated protein (sap) in an individual and based on the sap levels, determining if the individual is suitable for pd-1 inhibitor therapy. also provided is a method of treatment of x-linked lymphoproliferative disease comprising administering to an individual pd-1 inhibitory therapy, with or without shp2 inhibitors.",1
deoxynucleoside therapy for diseases caused by unbalanced nucleotide pools including mitochondrial dna depletion syndromes,"the invention relates generally to a pharmacological therapy for human genetic diseases, specifically those characterized by unbalance nucleotide pools, more specifically mitochondrial dna depletion syndromes, and more specifically, thymidine kinase 2 (tk2) deficiency. the pharmacological therapy involves the administration of at least one deoxynucleoside, or mixtures thereof. for the treatment of tk2 deficiency, the pharmacological therapy involves the administration of either deoxythymidine (dt) or deoxycytidine (dc), or mixtures thereof. this administration of deoxynucleosides is applicable to other disorders of unbalanced nucleotide pools, especially those found in mitochondrial dna depletion syndrome.",1
lysosomal targeting of antigens employing nucleic acids encoding lysosomal membrane polypeptide/antigen chimeras,"the invention provides chimeric proteins and nucleic acids encoding these which can be used to generate vaccines against selected antigens. in one aspect, a chimeric protein comprises an antigen sequence and a domain for trafficking the protein to an endosomal compartment, irrespective of whether the antigen is derived from a membrane or non-membrane protein. in one preferred aspect, the trafficking domain comprises a lumenal domain of a lamp polypeptide. alternatively, or additionally, the chimeric protein comprises a trafficking domain of an endocytic receptor (e.g., such as dec-205 or gp200-mr6). the vaccines (dna, rna or protein) can be used to modulate or enhance an immune response against any kind of antigen. in one preferred aspect, the invention provides a method for treating a patient with cancer by providing a chimeric protein comprising a cancer-specific antigen or a nucleic acid encoding the protein to the patient.",1
methods and medicaments for the treatment of renal cell carcinoma,"the present disclosure is directed, among other things, to the surprising and unexpected efficacy provided by select v2r antagonists in significantly reducing the cell proliferation levels of clear cell renal cell carcinoma. thus, the present disclosure provides methods, uses, and medicaments that include such select v2r antagonists for utility in treating clear cell renal cell carcinoma.",1
co-spray drying of ciprofloxacin and colistin and the uses thereof,"the present disclosure generally relates to a combination dry powder inhaler (dpi) formulation of ciprofloxacin and colistin through co-spray drying, particularly to a co-sprayed colistin and ciprofloxacin dry powder inhaler for the treatment of various bacterial infections. methods of use and composition matters are within the scope of this disclosure.",1
methods of treating disorders associated with glycosylation defective proteins,"a method of treating a glycosylation-defective protein associated disease or disorder in a subject, the method includes administering to the subject a therapeutically effective amount of a sarco/er atpase (serca) inhibitor.",1
small molecule inhibitors of bacterial efflux pumps and methods of using same,"an empirical screen for anti-infectives using fluorescence microscopy of intracellular enterobacteriaceae (safire) was developed. using this methodology, a library of small molecules and identified antimicrobials that are cell permeable and non-host-toxic were screened. inhibitors of bacterial efflux pumps were identified as being implicated in antibiotic resistance and are attractive therapeutic targets for antimicrobials.",1
systems and methods for measuring neonatal cerebral oxygenation,"disclosed herein are systems and methods for monitoring one or more of cerebral oxygenation and total hemoglobin concentration that can be used to perform accurate, noninvasive measurement of cerebral venous blood oxygen saturation (oxygenation) in neonatal patients. a neonatal cerebral oxygenation detection apparatus comprises a wearable support having a light emitter and an acoustic sensor coupled thereto. the wearable support can be secured onto a head of an infant, and the light emitter can be configured to emit a light toward a superior sagittal sinus of the infant's head. the acoustic sensor can be configured to detect acoustic pressure generated by blood in the superior sagittal sinus when the superior sagittal sinus blood absorbs the light. cerebral oxygenation and/or total hemoglobin concentration can be determined based on the acoustic pressure detected by the acoustic detector.",1
glutamine antagonists for the treatment of cognitive deficits and psychiatric disorders,"the disclosure provides compounds having formula (i): and the pharmaceutically acceptable salts thereof, wherein r1, r2, r2′, and x are as defined as set forth in the specification, for use in treating cognitive deficits and/or psychiatric disorders, such as those associated with neurological or neurodegenerative disorders, psychiatric or mood disorders, and hiv-associated neurocognitive disorders (hand). compounds having formula (i) are prodrugs that release glutamine analogs, e.g., 6-diazo-5-oxo-l-norleucine (don).",1
optical imaging or spectroscopy systems and methods,"optical imaging or spectroscopy described can use laminar optical tomography (lot), diffuse correlation spectroscopy (dcs), or the like. an incident beam is scanned across a target. an orthogonal or oblique optical response can be obtained, such as concurrently at different distances from the incident beam. the optical response from multiple incident wavelengths can be concurrently obtained by dispersing the response wavelengths in a direction orthogonal to the response distances from the incident beam. temporal correlation can be measured, from which flow and other parameters can be computed. an optical conduit can enable endoscopic or laparoscopic imaging or spectroscopy of internal target locations. an articulating arm can communicate the light for performing the lot, dcs, or the like. the imaging can find use for skin cancer diagnosis, such as distinguishing lentigo maligna (lm) from lentigo maligna melanoma (lmm).",1
electronic modulating device,"an electronic modulating device is provided. the electronic modulating device includes a first substrate. the first substrate includes a first portion and a second portion. the electronic modulating device also includes a second substrate disposed opposite to the first substrate. the electronic modulating device further includes at least one working device disposed between the first substrate and the second substrate, wherein the working device overlaps the first portion and does not overlap the second portion. in addition, the electronic modulating device includes a first adjustment unit disposed between the first portion of the first substrate and the second substrate. the first adjustment unit has a first elastic coefficient. the electronic modulating device also includes second adjustment unit disposed between the second portion of the first substrate and the second substrate. the second adjustment unit has a second elastic coefficient that is greater than the first elastic coefficient.",1
nanopore sequencing of polynucleotides with multiple passes,"provided are methods for analyzing properties of a target portion of a polynucleotide using a nanopore. also provided are methods for nanopore-based analysis of a polynucleotide, the methods comprising modifying a polynucleotide to comprise an enzyme binding site, an enzyme activity blocking structure, and an enzyme displacement region. such methods further comprise the use of an enzyme that translocates the polynucleotide through a nanopore against a voltage force when the enzyme activity blocking structure is removed. the enzyme blocking structure is reconstituted by movement of the enzyme. also provided are methods for providing a polynucleotide comprising an abasic region, a region to be analyzed, a gq fold, and an enzyme binding site, where such methods further comprise removing one enzyme molecule at the abasic region and allowing another enzyme molecule to bind at the enzyme binding site.",1
septic shock endotyping strategy and mortality risk for clinical application,"methods and compositions disclosed herein generally relate to methods of identifying, validating, and measuring clinically relevant, quantifiable biomarkers of diagnostic and therapeutic responses for blood, vascular, cardiac, and respiratory tract dysfunction, particularly as those responses relate to septic shock in pediatric patients. in particular, the invention relates to identifying two or more biomarkers associated with septic shock in pediatric patients, obtaining a sample from a pediatric patient having at least one indication of septic shock, then quantifying from the sample an amount of two or more of said biomarkers, wherein the level of said biomarker correlates with a predicted outcome.",1
compositions and methods for determining the presence of active leukocyte cells using an electrochemical assay,"the present disclosure relates to compositions, methods and test devices for determining the presence of active leukocyte cells, for example, by using novel le and/or hne substrates in an electrochemical assay.",1
methods for producing ribosomally synthesized and posttranslationally modified peptides,"the disclosure provides recombinant cells and methods for producing a ribosomally synthesized and posttranslationally modified peptide (ripp), as well as ripp libraries and methods for producing ripp libraries.",1
splice inhibiting oligonucleotides,"micrornas embedded within an intron, which are called ‘mirtrons,’ can be used as a platform for expressing one or more shrna or mirna mimics in a lentiviral vector. the inventors developed a strategy to improve lentiviral titering by reducing the production of shrna/mirna from the vector during packaging through the introduction of splice-inhibiting antisense oligonucleotides during vector packaging, which inhibit the splicing of the mirtron and subsequent processing of the shrnas/mirnas. in an aspect is provided a kit comprising an oligonucleotide comprising a mirtron splice site binding sequence and a lentiviral packaging system. in an aspect is provided a method for producing a lentivirus. the method comprises the step of transfecting a cell with an oligonucleotide comprising a mirtron splice site binding sequence and a lentiviral packaging system; thereby producing the lentivirus.",1
system and method for extraction and cryopreservation of bone marrow,"methods are provided for extracting bone marrow cells from bone obtained from deceased donors, for preparing the bone marrow for cryopreservation and for obtaining desired cells from cryopreserved and fresh bone marrow.",1
"multi-functional, stimuli-responsive materials, methods of preparation, methods of use, and uses thereof","a multi-functional, stimuli-responsive material includes a substrate functionalized with a ph-sensitive azo-qps compound or co-assemblies containing azo-qps compounds. the azo-qps compound includes a positively-charged phenyl-azo-pyridinium core, an anion affiliated with the core, a head group, a tail group, a surface bonding group coupling the ph-sensitive azo-qps compound to the substrate, and a spacer connecting the ph-sensitive azo-qps compound to the surface bonding group.",1
methods for forming aryl carbon-nitrogen bond using light,"the disclosure relates to a method for forming aryl carbon-nitrogen bonds and to photoreactors useful in these and other light-driven reactions. the method comprises contacting an aryl halide, such as 4-bromobenzotrifluoride, with an amine, such as morpholine, in the presence of a ni salt catalyst solution and an optional base, thereby forming a reaction mixture; exposing the reaction mixture to light under reaction condition sufficient to produce the aryl carbon-nitrogen bonds, e.g., to give a product such as 4-(4-(trifluoromethyl)phenyl)morpholine. in certain embodiments, the amine may be present in a molar excess to the aryl halide. in certain embodiments, the ni salt catalyst solution includes a ni(ii) salt and a polar solvent, wherein the ni(ii) salt is dissolved in the polar solvent. in certain embodiments, the reactions conditions include holding the reaction mixture at between about room temperature and about 80° c. for between about 1 hour and about 20 hours such that at least about 50% yield is obtained.",1
crispr effector system based diagnostics,"the embodiments disclosed herein utilized rna targeting effectors to provide a robust crispr-based diagnostic with attomolar sensitivity. embodiments disclosed herein can detect broth dna and rna with comparable levels of sensitivity and can differentiate targets from non-targets based on single base pair differences. moreover, the embodiments disclosed herein can be prepared in freeze-dried format for convenient distribution and point-of-care (poc) applications. such embodiments are useful in multiple scenarios in human health including, for example, viral detection, bacterial strain typing, sensitive genotyping, and detection of disease-associated cell free dna.",1
immunogenetic restriction on elicitation of antibodies,"the present invention provides structural determinants important for binding to the stem domain of the ha protein of influenza virus, and methods of use thereof for production of high affinity neutralizing influenza virus antibodies based upon these determinants. the present invention further provides tools for determining the efficacy of an influenza virus vaccine. the present invention further provides a molecular signature useful for determining the efficacy of an influenza virus vaccine in a subject, or for predicting prior immunologic exposure or antigen responsiveness to vaccine or influenza virus infection.",1
methods of treating cmv retinitis by t cell therapy,"methods of treating cmv (cytomegalovirus) retinitis in a human patient in need thereof comprise administering to the human patient a population of allogeneic t cells comprising cmv-specific t cells, wherein the human patient is infected with human immunodeficiency virus (hiv) or has been the recipient of a solid organ transplant.",1
ambulatory medicament device with gesture-based control of medicament delivery,"systems and methods presented herein relate to cancelling a modification of medicament delivery initiated by a user. a display of a therapy control element can be generated on an interface, such as a touchscreen. the therapy control element permits a user to modify a control parameter used in a control algorithm for generating a dose control signal for delivering medicament to a subject. responsive to receiving the modification, the control parameter may be modified at a first time from a first setting to a second setting based on an indication of the modification to the therapy control element. responsive to receiving a restore gesture on the touchscreen at a second time, the control parameter may be restored back to the first setting. this restore gesture may be a swipe gesture performed by a user.",1
substituted quinazoline sulfonamides as thioredoxin interacting protein (txnip) inhibitors,"in one aspect, compounds and compositions that inhibit txnip expression and/or that lower hepatic glucose production and methods of identifying, making, and using same are disclosed. the disclosed compounds and compositions can be useful for disorders associated with elevated txnip and/or elevated glucagon levels such as, for example, diabetes and associated disorders. further provided are methods for treating hyperlipidemia or fatty liver disease, optionally associated with elevated txnip and/or elevated glucagon levels.",1
compositions and methods useful for the prevention of malaria and dengue virus transmission,"the present invention relates to the fields of malaria and dengue virus. more specifically, the present invention provides compositions and methods useful for the treatment and prevention of malaria and dengue virus. in particular embodiments, a composition comprises mosquito nectar feed and chromobacterium sp_panamam (csp_p).",1
birefringent spectral demultiplexer for hyperspectral imaging,"a birefringent spectral demultiplexer for hyperspectral imaging includes n birefringent beamsplitting stages arranged along a light propagation path, to produce 2n mutually divergent output light beams. each of the output light beams differs from every other one of the output light beams in polarization and/or spectral bandwidth. each birefringent beamsplitting stage includes a retarder for modifying polarization of each light beam received by the birefringent beamsplitting stage, and a wollaston prism for splitting each light beam into two orthogonally polarized and divergent light beams. the wollaston prism has a beamsplitting interface arranged at an oblique angle to the light propagation path. the oblique angle of the beamsplitting interface of each wollaston prism of the series, except for the first one, is smaller than the oblique angle of the beamsplitting interface of each preceding wollaston prism. the demultiplexer may be configured to accept input light of any polarization.",1
methods of digital image correlation for biological samples,"a method of marking a hydrated tissue specimen for mechanical testing is provided. the method includes adding a metal nanoparticle precursor solution to a reducing agent solution to form a mixture; incubating the mixture to form a plurality of aggregated metal nanoparticles, where each of the aggregated metal nanoparticles includes a plurality of individual metal nanoparticles; separating the plurality of aggregated metal nanoparticles from a supernatant by means of centrifugation or gravitational settling; resuspending the plurality of aggregated metal nanoparticles in a buffer solution to form a colloidal metal nanoparticle suspension; and soaking the hydrated tissue specimen in the colloidal metal nanoparticle suspension, where at least a portion of the plurality of aggregated metal nanoparticles adhere to the hydrated tissue specimen in a random pattern of speckles.",1
in vitro assays for inhibition of microglial activation,"the present invention provides cell-based assays, including high throughput cell-based assays, for identification of candidate therapeutic agents with the ability to inhibit microglial activation in vivo in response to different ligands.",1
method and apparatus for detection and visualization of pulmonary embolism,"detecting a pulmonary embolism (pe) in an image dataset of a blood vessel involves obtaining a volume of interest (voi) in the blood vessel, generating a plurality of pe candidates within the voi, generating a set of voxels for each pe candidate, estimating for each pe candidate an orientation of the blood vessel that contains the pe candidate, given the set of voxels for the pe candidate, and generating a visualization of the blood vessel that contains the pe candidate using the estimated orientation of the blood vessel that contains the pe candidate.",1
methods for evaluating tumor cell spheroids using 3d microfluidic cell culture device,provided herein are methods for evaluating tumor cell spheroids in a three-dimensional microfluidic device by determining changes in the relative levels of live cells and dead cells in aliquots cultured under different conditions. methods described herein allow ex vivo recapitulation of the tumor microenvironment such that the in vivo effectiveness of a test compound in treating tumor tissue may be predicted.,1
methods of lowering the error rate of massively parallel dna sequencing using duplex consensus sequencing,"next generation dna sequencing promises to revolutionize clinical medicine and basic research. however, while this technology has the capacity to generate hundreds of billions of nucleotides of dna sequence in a single experiment, the error rate of approximately 1% results in hundreds of millions of sequencing mistakes. these scattered errors can be tolerated in some applications but become extremely problematic when “deep sequencing” genetically heterogeneous mixtures, such as tumors or mixed microbial populations. to overcome limitations in sequencing accuracy, a method duplex consensus sequencing (dcs) is provided. this approach greatly reduces errors by independently tagging and sequencing each of the two strands of a dna duplex. as the two strands are complementary, true mutations are found at the same position in both strands. in contrast, pcr or sequencing errors will result in errors in only one strand. this method uniquely capitalizes on the redundant information stored in double-stranded dna, thus overcoming technical limitations of prior methods utilizing data from only one of the two strands.",1
non-invasive diagnosis of graft rejection in organ transplant patients,"the invention provides methods, devices, compositions and kits for diagnosing or predicting transplant status or outcome in a subject who has received a transplant.",1
time lapse sequencing: a convertible-nucleoside approach to enrichment-free analysis of rna dynamics,"the invention provides methods and compositions for generating mutations in new nucleic acid molecules through incorporation of a transformable nucleoside into the nucleic acid and subsequent transformation of the nucleoside through oxidative-nucleophilic-aromatic-substitution chemistry, referred to as timelapse chemistry. the invention further provides methods for detecting the mutations, referred to as timelapse-seq.",1
four-color dna sequencing by synthesis using cleavable fluorescent nucleotide reversible terminators,this invention provides a process for sequencing single-stranded dna employing modified nucleotides.,1
biosynthesis of bioorthogonal amino acids,"recombinant enzymes besa, besb, besc, besd and/or bese are used generate non-canonical amino acids comprising a useful functional group, such as an alkynlyl, alkenyl or halogen.",1
using rna-guided foki nucleases (rfns) to increase specificity for rna-guided genome editing,"many studies have shown that crispr-cas nucleases can tolerate up to five mismatches and still cleave; it is hard to predict the effects of any given single or combination of mismatches on activity. taken together, these nucleases can show significant off-target effects but it can be challenging to predict these sites. described herein are methods for increasing the specificity of genome editing using the crispr/cas system, e.g., using rna-guided foki nucleases (rfns), e.g., foki-cas9 or foki-dcas9-based fusion proteins.",1
block copolymer and micelle compositions and methods of use thereof,"provided herein are block copolymers comprising a hydrophilic polymer segment and a hydrophobic polymer segment, wherein the hydrophilic polymer segment comprises a polymer selected from the group consisting of: poly(ethylene oxide) (peo), poly(methacrylate phosphatidyl choline) (mpc), and polyvinylpyrrolidone (pvp), wherein the hydrophobic polymer segment comprises wherein r′ is —h or —ch3, wherein r is —nr1r2, wherein r1 and r2 are alkyl groups, wherein r1 and r2 are the same or different, wherein r1 and r2 together have from 5 to 16 carbons, wherein r1 and r2 may optionally join to form a ring, wherein n is 1 to about 10, and wherein x is about 20 to about 200 in total. also provided are ph-sensitive micelle compositions for therapeutic and diagnostic applications.",1
therapeutic compounds and methods,"this disclosure describes engineered compounds that engage nk cells and methods of using the compounds. generally, the compound includes an nk engaging domain, a targeting domain that selectively binds to a target cell, and an nk activating domain operably linking the nk engaging domain and the targeting domain.",1
compositions and methods for brown fat induction and activity using fndc5,the invention provides compositions and methods for brown fat induction and activity through modulation of fndc5 activity and/or expression. also provided are methods for preventing or treating metabolic disorders in a subject through modulation of fndc5 activity and/or expression. further provided are methods for identifying compounds that are capable of modulating fndc5 activity and/or expression.,1
