title,abstract
Assay wells with hydrogel as a well-contents separator,"In a polymer assay cartridge having wells containing reagents, beads and sample, where the wells are covered (e.g., with Parafilm® or films) and shipped to the point of care, the reagents and well contents can leak out. The reagent solutions are made semi-solid by adding hydrogel reagents and cooling to form a gel. Preferably, the hydrogel is heated before an assay is conducted with the cartridge, and pigmented beads in the wells indicate melting or excessive heating, or congealing of the hydrogel, based on pigment color change."
C-mannoside compounds useful for the treatment of urinary tract infections,Disclosed herein are new C-mannoside compounds and compositions and their application as pharmaceuticals for the treatment of human disease. Methods of inhibition of FimH activity in a human subject are also provided for the treatment diseases such as urinary tract infection.
Balanced cone excitation for controlling refractive error and ocular growth to inhibit development of myopia,"A myopia-inhibiting treatment device produces a therapeutic light that includes components of different wavelengths in a ratio of luminosities that creates a predetermined L-cone to S-cone excitation profile that slows ocular growth, thereby mitigating development of myopia. The components comprise blue light, green light, and red light. Therapeutic light may cause an L-cone to S-cone excitation ratio in a range between 1.38 and 0.05. In some implementations the therapeutic light causes a L-cone to S-cone excitation ratio of 0.74. In some implementations the luminosity of the combined light components is greater than 700 lux."
Bactericidal methods and compositions,Methods of the present invention comprise photoinactivation of catalase in combination with low-concentration peroxide solutions and/or ROS generating agents to provide antibacterial effects.
Live attenuated parasitic vaccine,"Disclosed herein is an avirulent live vaccine that involves a recombinant protozoan from the order Trypanosomatida having a knocked out or silenced cyclophilin gene, wherein the cyclophilin gene comprises T. cruzi cyclophilin 19 (TcCyp19) gene, or an orthologue thereof. Also disclosed is a method or inducing a protective immune response in a subject that involves administering to the subject a vaccine disclosed herein. Also disclosed is a method of treating or preventing Chagas disease, African trypanosomiasis, and/or leishmaniasis in a subject that involves administering to the subject a vaccine disclosed herein."
PD-1 related cancer therapy,"Provided are compositions and methods for identifying individuals with cancer who will benefit from PD-1 inhibitor therapy. The method comprises determining levels of signaling lymphocyte activation molecule-associated protein (SAP) in an individual and based on the SAP levels, determining if the individual is suitable for PD-1 inhibitor therapy. Also provided is a method of treatment of X-linked lymphoproliferative disease comprising administering to an individual PD-1 inhibitory therapy, with or without SHP2 inhibitors."
Deoxynucleoside therapy for diseases caused by unbalanced nucleotide pools including mitochondrial DNA depletion syndromes,"The invention relates generally to a pharmacological therapy for human genetic diseases, specifically those characterized by unbalance nucleotide pools, more specifically mitochondrial DNA depletion syndromes, and more specifically, thymidine kinase 2 (TK2) deficiency. The pharmacological therapy involves the administration of at least one deoxynucleoside, or mixtures thereof. For the treatment of TK2 deficiency, the pharmacological therapy involves the administration of either deoxythymidine (dT) or deoxycytidine (dC), or mixtures thereof. This administration of deoxynucleosides is applicable to other disorders of unbalanced nucleotide pools, especially those found in mitochondrial DNA depletion syndrome."
Lysosomal targeting of antigens employing nucleic acids encoding lysosomal membrane polypeptide/antigen chimeras,"The invention provides chimeric proteins and nucleic acids encoding these which can be used to generate vaccines against selected antigens. In one aspect, a chimeric protein comprises an antigen sequence and a domain for trafficking the protein to an endosomal compartment, irrespective of whether the antigen is derived from a membrane or non-membrane protein. In one preferred aspect, the trafficking domain comprises a lumenal domain of a LAMP polypeptide. Alternatively, or additionally, the chimeric protein comprises a trafficking domain of an endocytic receptor (e.g., such as DEC-205 or gp200-MR6). The vaccines (DNA, RNA or protein) can be used to modulate or enhance an immune response against any kind of antigen. In one preferred aspect, the invention provides a method for treating a patient with cancer by providing a chimeric protein comprising a cancer-specific antigen or a nucleic acid encoding the protein to the patient."
Methods and medicaments for the treatment of renal cell carcinoma,"The present disclosure is directed, among other things, to the surprising and unexpected efficacy provided by select V2R antagonists in significantly reducing the cell proliferation levels of clear cell renal cell carcinoma. Thus, the present disclosure provides methods, uses, and medicaments that include such select V2R antagonists for utility in treating clear cell renal cell carcinoma."
Co-spray drying of ciprofloxacin and colistin and the uses thereof,"The present disclosure generally relates to a combination dry powder inhaler (DPI) formulation of Ciprofloxacin and Colistin through co-spray drying, particularly to a co-sprayed colistin and Ciprofloxacin dry powder inhaler for the treatment of various bacterial infections. Methods of use and composition matters are within the scope of this disclosure."
Methods of treating disorders associated with glycosylation defective proteins,"A method of treating a glycosylation-defective protein associated disease or disorder in a subject, the method includes administering to the subject a therapeutically effective amount of a Sarco/ER ATPase (SERCA) inhibitor."
Small molecule inhibitors of bacterial efflux pumps and methods of using same,"An empirical Screen for Anti-infectives using Fluorescence microscopy of IntracellulaR Enterobacteriaceae (SAFIRE) was developed. Using this methodology, a library of small molecules and identified antimicrobials that are cell permeable and non-host-toxic were screened. Inhibitors of bacterial efflux pumps were identified as being implicated in antibiotic resistance and are attractive therapeutic targets for antimicrobials."
Systems and methods for measuring neonatal cerebral oxygenation,"Disclosed herein are systems and methods for monitoring one or more of cerebral oxygenation and total hemoglobin concentration that can be used to perform accurate, noninvasive measurement of cerebral venous blood oxygen saturation (oxygenation) in neonatal patients. A neonatal cerebral oxygenation detection apparatus comprises a wearable support having a light emitter and an acoustic sensor coupled thereto. The wearable support can be secured onto a head of an infant, and the light emitter can be configured to emit a light toward a superior sagittal sinus of the infant's head. The acoustic sensor can be configured to detect acoustic pressure generated by blood in the superior sagittal sinus when the superior sagittal sinus blood absorbs the light. Cerebral oxygenation and/or total hemoglobin concentration can be determined based on the acoustic pressure detected by the acoustic detector."
Glutamine antagonists for the treatment of cognitive deficits and psychiatric disorders,"The disclosure provides compounds having formula (I): and the pharmaceutically acceptable salts thereof, wherein R1, R2, R2′, and X are as defined as set forth in the specification, for use in treating cognitive deficits and/or psychiatric disorders, such as those associated with neurological or neurodegenerative disorders, psychiatric or mood disorders, and HIV-associated neurocognitive disorders (HAND). Compounds having formula (I) are prodrugs that release glutamine analogs, e.g., 6-diazo-5-oxo-L-norleucine (DON)."
Optical imaging or spectroscopy systems and methods,"Optical imaging or spectroscopy described can use laminar optical tomography (LOT), diffuse correlation spectroscopy (DCS), or the like. An incident beam is scanned across a target. An orthogonal or oblique optical response can be obtained, such as concurrently at different distances from the incident beam. The optical response from multiple incident wavelengths can be concurrently obtained by dispersing the response wavelengths in a direction orthogonal to the response distances from the incident beam. Temporal correlation can be measured, from which flow and other parameters can be computed. An optical conduit can enable endoscopic or laparoscopic imaging or spectroscopy of internal target locations. An articulating arm can communicate the light for performing the LOT, DCS, or the like. The imaging can find use for skin cancer diagnosis, such as distinguishing lentigo maligna (LM) from lentigo maligna melanoma (LMM)."
Electronic modulating device,"An electronic modulating device is provided. The electronic modulating device includes a first substrate. The first substrate includes a first portion and a second portion. The electronic modulating device also includes a second substrate disposed opposite to the first substrate. The electronic modulating device further includes at least one working device disposed between the first substrate and the second substrate, wherein the working device overlaps the first portion and does not overlap the second portion. In addition, the electronic modulating device includes a first adjustment unit disposed between the first portion of the first substrate and the second substrate. The first adjustment unit has a first elastic coefficient. The electronic modulating device also includes second adjustment unit disposed between the second portion of the first substrate and the second substrate. The second adjustment unit has a second elastic coefficient that is greater than the first elastic coefficient."
Nanopore sequencing of polynucleotides with multiple passes,"Provided are methods for analyzing properties of a target portion of a polynucleotide using a nanopore. Also provided are methods for nanopore-based analysis of a polynucleotide, the methods comprising modifying a polynucleotide to comprise an enzyme binding site, an enzyme activity blocking structure, and an enzyme displacement region. Such methods further comprise the use of an enzyme that translocates the polynucleotide through a nanopore against a voltage force when the enzyme activity blocking structure is removed. The enzyme blocking structure is reconstituted by movement of the enzyme. Also provided are methods for providing a polynucleotide comprising an abasic region, a region to be analyzed, a GQ fold, and an enzyme binding site, where such methods further comprise removing one enzyme molecule at the abasic region and allowing another enzyme molecule to bind at the enzyme binding site."
Septic shock endotyping strategy and mortality risk for clinical application,"Methods and compositions disclosed herein generally relate to methods of identifying, validating, and measuring clinically relevant, quantifiable biomarkers of diagnostic and therapeutic responses for blood, vascular, cardiac, and respiratory tract dysfunction, particularly as those responses relate to septic shock in pediatric patients. In particular, the invention relates to identifying two or more biomarkers associated with septic shock in pediatric patients, obtaining a sample from a pediatric patient having at least one indication of septic shock, then quantifying from the sample an amount of two or more of said biomarkers, wherein the level of said biomarker correlates with a predicted outcome."
Compositions and methods for determining the presence of active leukocyte cells using an electrochemical assay,"The present disclosure relates to compositions, methods and test devices for determining the presence of active leukocyte cells, for example, by using novel LE and/or HNE substrates in an electrochemical assay."
Methods for producing ribosomally synthesized and posttranslationally modified peptides,"The disclosure provides recombinant cells and methods for producing a ribosomally synthesized and posttranslationally modified peptide (RiPP), as well as RiPP libraries and methods for producing RiPP libraries."
Splice inhibiting oligonucleotides,"MicroRNAs embedded within an intron, which are called ‘mirtrons,’ can be used as a platform for expressing one or more shRNA or miRNA mimics in a lentiviral vector. The inventors developed a strategy to improve lentiviral titering by reducing the production of shRNA/miRNA from the vector during packaging through the introduction of splice-inhibiting antisense oligonucleotides during vector packaging, which inhibit the splicing of the mirtron and subsequent processing of the shRNAs/miRNAs. In an aspect is provided a kit comprising an oligonucleotide comprising a mirtron splice site binding sequence and a lentiviral packaging system. In an aspect is provided a method for producing a lentivirus. The method comprises the step of transfecting a cell with an oligonucleotide comprising a mirtron splice site binding sequence and a lentiviral packaging system; thereby producing the lentivirus."
System and method for extraction and cryopreservation of bone marrow,"Methods are provided for extracting bone marrow cells from bone obtained from deceased donors, for preparing the bone marrow for cryopreservation and for obtaining desired cells from cryopreserved and fresh bone marrow."
"Multi-functional, stimuli-responsive materials, methods of preparation, methods of use, and uses thereof","A multi-functional, stimuli-responsive material includes a substrate functionalized with a pH-sensitive Azo-QPS compound or co-assemblies containing Azo-QPS compounds. The Azo-QPS compound includes a positively-charged phenyl-azo-pyridinium core, an anion affiliated with the core, a head group, a tail group, a surface bonding group coupling the pH-sensitive Azo-QPS compound to the substrate, and a spacer connecting the pH-sensitive Azo-QPS compound to the surface bonding group."
Methods for forming aryl carbon-nitrogen bond using light,"The disclosure relates to a method for forming aryl carbon-nitrogen bonds and to photoreactors useful in these and other light-driven reactions. The method comprises contacting an aryl halide, such as 4-bromobenzotrifluoride, with an amine, such as morpholine, in the presence of a Ni salt catalyst solution and an optional base, thereby forming a reaction mixture; exposing the reaction mixture to light under reaction condition sufficient to produce the aryl carbon-nitrogen bonds, e.g., to give a product such as 4-(4-(trifluoromethyl)phenyl)morpholine. In certain embodiments, the amine may be present in a molar excess to the aryl halide. In certain embodiments, the Ni salt catalyst solution includes a Ni(II) salt and a polar solvent, wherein the Ni(II) salt is dissolved in the polar solvent. In certain embodiments, the reactions conditions include holding the reaction mixture at between about room temperature and about 80° C. for between about 1 hour and about 20 hours such that at least about 50% yield is obtained."
CRISPR effector system based diagnostics,"The embodiments disclosed herein utilized RNA targeting effectors to provide a robust CRISPR-based diagnostic with attomolar sensitivity. Embodiments disclosed herein can detect broth DNA and RNA with comparable levels of sensitivity and can differentiate targets from non-targets based on single base pair differences. Moreover, the embodiments disclosed herein can be prepared in freeze-dried format for convenient distribution and point-of-care (POC) applications. Such embodiments are useful in multiple scenarios in human health including, for example, viral detection, bacterial strain typing, sensitive genotyping, and detection of disease-associated cell free DNA."
Immunogenetic restriction on elicitation of antibodies,"The present invention provides structural determinants important for binding to the stem domain of the HA protein of influenza virus, and methods of use thereof for production of high affinity neutralizing influenza virus antibodies based upon these determinants. The present invention further provides tools for determining the efficacy of an influenza virus vaccine. The present invention further provides a molecular signature useful for determining the efficacy of an influenza virus vaccine in a subject, or for predicting prior immunologic exposure or antigen responsiveness to vaccine or influenza virus infection."
Methods of treating CMV retinitis by T cell therapy,"Methods of treating CMV (cytomegalovirus) retinitis in a human patient in need thereof comprise administering to the human patient a population of allogeneic T cells comprising CMV-specific T cells, wherein the human patient is infected with human immunodeficiency virus (HIV) or has been the recipient of a solid organ transplant."
Ambulatory medicament device with gesture-based control of medicament delivery,"Systems and methods presented herein relate to cancelling a modification of medicament delivery initiated by a user. A display of a therapy control element can be generated on an interface, such as a touchscreen. The therapy control element permits a user to modify a control parameter used in a control algorithm for generating a dose control signal for delivering medicament to a subject. Responsive to receiving the modification, the control parameter may be modified at a first time from a first setting to a second setting based on an indication of the modification to the therapy control element. Responsive to receiving a restore gesture on the touchscreen at a second time, the control parameter may be restored back to the first setting. This restore gesture may be a swipe gesture performed by a user."
Substituted quinazoline sulfonamides as thioredoxin interacting protein (TXNIP) inhibitors,"In one aspect, compounds and compositions that inhibit TXNIP expression and/or that lower hepatic glucose production and methods of identifying, making, and using same are disclosed. The disclosed compounds and compositions can be useful for disorders associated with elevated TXNIP and/or elevated glucagon levels such as, for example, diabetes and associated disorders. Further provided are methods for treating hyperlipidemia or fatty liver disease, optionally associated with elevated TXNIP and/or elevated glucagon levels."
Compositions and methods useful for the prevention of malaria and dengue virus transmission,"The present invention relates to the fields of malaria and dengue virus. More specifically, the present invention provides compositions and methods useful for the treatment and prevention of malaria and dengue virus. In particular embodiments, a composition comprises mosquito nectar feed and Chromobacterium sp_Panamam (Csp_P)."
Birefringent spectral demultiplexer for hyperspectral imaging,"A birefringent spectral demultiplexer for hyperspectral imaging includes N birefringent beamsplitting stages arranged along a light propagation path, to produce 2N mutually divergent output light beams. Each of the output light beams differs from every other one of the output light beams in polarization and/or spectral bandwidth. Each birefringent beamsplitting stage includes a retarder for modifying polarization of each light beam received by the birefringent beamsplitting stage, and a Wollaston prism for splitting each light beam into two orthogonally polarized and divergent light beams. The Wollaston prism has a beamsplitting interface arranged at an oblique angle to the light propagation path. The oblique angle of the beamsplitting interface of each Wollaston prism of the series, except for the first one, is smaller than the oblique angle of the beamsplitting interface of each preceding Wollaston prism. The demultiplexer may be configured to accept input light of any polarization."
Methods of digital image correlation for biological samples,"A method of marking a hydrated tissue specimen for mechanical testing is provided. The method includes adding a metal nanoparticle precursor solution to a reducing agent solution to form a mixture; incubating the mixture to form a plurality of aggregated metal nanoparticles, where each of the aggregated metal nanoparticles includes a plurality of individual metal nanoparticles; separating the plurality of aggregated metal nanoparticles from a supernatant by means of centrifugation or gravitational settling; resuspending the plurality of aggregated metal nanoparticles in a buffer solution to form a colloidal metal nanoparticle suspension; and soaking the hydrated tissue specimen in the colloidal metal nanoparticle suspension, where at least a portion of the plurality of aggregated metal nanoparticles adhere to the hydrated tissue specimen in a random pattern of speckles."
In vitro assays for inhibition of microglial activation,"The present invention provides cell-based assays, including high throughput cell-based assays, for identification of candidate therapeutic agents with the ability to inhibit microglial activation in vivo in response to different ligands."
Method and apparatus for detection and visualization of pulmonary embolism,"Detecting a pulmonary embolism (PE) in an image dataset of a blood vessel involves obtaining a volume of interest (VOI) in the blood vessel, generating a plurality of PE candidates within the VOI, generating a set of voxels for each PE candidate, estimating for each PE candidate an orientation of the blood vessel that contains the PE candidate, given the set of voxels for the PE candidate, and generating a visualization of the blood vessel that contains the PE candidate using the estimated orientation of the blood vessel that contains the PE candidate."
Methods for evaluating tumor cell spheroids using 3D microfluidic cell culture device,Provided herein are methods for evaluating tumor cell spheroids in a three-dimensional microfluidic device by determining changes in the relative levels of live cells and dead cells in aliquots cultured under different conditions. Methods described herein allow ex vivo recapitulation of the tumor microenvironment such that the in vivo effectiveness of a test compound in treating tumor tissue may be predicted.
Methods of lowering the error rate of massively parallel DNA sequencing using duplex consensus sequencing,"Next Generation DNA sequencing promises to revolutionize clinical medicine and basic research. However, while this technology has the capacity to generate hundreds of billions of nucleotides of DNA sequence in a single experiment, the error rate of approximately 1% results in hundreds of millions of sequencing mistakes. These scattered errors can be tolerated in some applications but become extremely problematic when “deep sequencing” genetically heterogeneous mixtures, such as tumors or mixed microbial populations. To overcome limitations in sequencing accuracy, a method Duplex Consensus Sequencing (DCS) is provided. This approach greatly reduces errors by independently tagging and sequencing each of the two strands of a DNA duplex. As the two strands are complementary, true mutations are found at the same position in both strands. In contrast, PCR or sequencing errors will result in errors in only one strand. This method uniquely capitalizes on the redundant information stored in double-stranded DNA, thus overcoming technical limitations of prior methods utilizing data from only one of the two strands."
Non-invasive diagnosis of graft rejection in organ transplant patients,"The invention provides methods, devices, compositions and kits for diagnosing or predicting transplant status or outcome in a subject who has received a transplant."
Time lapse sequencing: a convertible-nucleoside approach to enrichment-free analysis of RNA dynamics,"The invention provides methods and compositions for generating mutations in new nucleic acid molecules through incorporation of a transformable nucleoside into the nucleic acid and subsequent transformation of the nucleoside through oxidative-nucleophilic-aromatic-substitution chemistry, referred to as TimeLapse chemistry. The invention further provides methods for detecting the mutations, referred to as TimeLapse-seq."
Four-color DNA sequencing by synthesis using cleavable fluorescent nucleotide reversible terminators,This invention provides a process for sequencing single-stranded DNA employing modified nucleotides.
Biosynthesis of bioorthogonal amino acids,"Recombinant enzymes BesA, BesB, BesC, BesD and/or BesE are used generate non-canonical amino acids comprising a useful functional group, such as an alkynlyl, alkenyl or halogen."
Using RNA-guided FokI nucleases (RFNs) to increase specificity for RNA-guided genome editing,"Many studies have shown that CRISPR-Cas nucleases can tolerate up to five mismatches and still cleave; it is hard to predict the effects of any given single or combination of mismatches on activity. Taken together, these nucleases can show significant off-target effects but it can be challenging to predict these sites. Described herein are methods for increasing the specificity of genome editing using the CRISPR/Cas system, e.g., using RNA-guided FokI Nucleases (RFNs), e.g., FokI-Cas9 or FokI-dCas9-based fusion proteins."
Block copolymer and micelle compositions and methods of use thereof,"Provided herein are block copolymers comprising a hydrophilic polymer segment and a hydrophobic polymer segment, wherein the hydrophilic polymer segment comprises a polymer selected from the group consisting of: poly(ethylene oxide) (PEO), poly(methacrylate phosphatidyl choline) (MPC), and polyvinylpyrrolidone (PVP), wherein the hydrophobic polymer segment comprises wherein R′ is —H or —CH3, wherein R is —NR1R2, wherein R1 and R2 are alkyl groups, wherein R1 and R2 are the same or different, wherein R1 and R2 together have from 5 to 16 carbons, wherein R1 and R2 may optionally join to form a ring, wherein n is 1 to about 10, and wherein x is about 20 to about 200 in total. Also provided are pH-sensitive micelle compositions for therapeutic and diagnostic applications."
Therapeutic compounds and methods,"This disclosure describes engineered compounds that engage NK cells and methods of using the compounds. Generally, the compound includes an NK engaging domain, a targeting domain that selectively binds to a target cell, and an NK activating domain operably linking the NK engaging domain and the targeting domain."
Compositions and methods for brown fat induction and activity using FNDC5,The invention provides compositions and methods for brown fat induction and activity through modulation of Fndc5 activity and/or expression. Also provided are methods for preventing or treating metabolic disorders in a subject through modulation of Fndc5 activity and/or expression. Further provided are methods for identifying compounds that are capable of modulating Fndc5 activity and/or expression.
