title,abstract
COMPOSITIONS AND METHODS FOR TREATING HEMOGLOBINOPATHIES,"The present invention features compositions and methods for editing deleterious mutations associated with hemoglobinopathies, such as sickle cell disease (SCD). In particular embodiments, the invention provides methods for correcting mutations in a beta globin polynucleotide using modified adenosine base editors termed “ABE8” having unprecedented levels (e.g., >60-70%) of efficiency."
Proteolytic inactivation of select proteins in bacterial extracts for improved expression,"The present disclosure provides modified proteins that are capable of being cleaved by the protease OmpT1. The proteins can be modified in an exposed surface motif to incorporate OmpT1 cleavage sites. Also provided are nucleic acids encoding the modified proteins, bacterial cells that express the modified proteins, and cell free synthesis systems containing modified RF1. The disclosure further provides methods for reducing the deleterious activity of a modified protein in a cell free synthesis system by contacting the modified protein with OmpT1. Also provided are methods for reducing RF1 competition at an amber codon in the cell free synthesis system, and methods for expressing a protein in the cell free synthesis system. The modified proteins of the invention can be used to increase the yield of proteins having non-natural amino acids incorporated at an amber codon."
ADENOSINE DEAMINASE BASE EDITORS AND METHODS OF USING SAME TO MODIFY A NUCLEOBASE IN A TARGET SEQUENCE,"The disclosure provides compositions comprising novel adenosine base editors (e.g., ABE8) that have increased efficiency and methods of using these adenosine deaminase variants for editing a target sequence."
COMPOSITIONS AND METHODS FOR TREATING HEMOGLOBINOPATHIES,"The present invention features compositions and methods for editing deleterious mutations associated with hemoglobinopathies, such as sickle cell disease (SCD). In particular embodiments, the invention provides methods for correcting mutations in a beta globin polynucleotide using modified adenosine base editors termed “ABE8” having unprecedented levels (e.g., >60-70%) of efficiency."
"MODIFIED AMINO ACIDS COMPRISING TETRAZINE FUNCTIONAL GROUPS, METHODS OF PREPARATION, AND METHODS OF THEIR USE","Provided herein are modified amino acids comprising a tetrazine groups according to Formula I: polypeptides, antibodies, payloads and conjugates comprising these modified amino acid residues derived from the modified amino acids, and methods of producing the polypeptides, antibodies, payloads and conjugates comprising the modified amino acid residues. The polypeptides, antibodies, payloads and conjugates are useful in methods of treatment and prevention, methods of detection and methods of diagnosis."
MULTI-EFFECTOR NUCLEOBASE EDITORS AND METHODS OF USING SAME TO MODIFY A NUCLEIC ACID TARGET SEQUENCE,The invention features a multi-effector nucleobase editor capable of inducing changes at multiple different bases within a target nucleic acid and methods of using such editors.
MODIFIED IMMUNE CELLS HAVING ENHANCED ANTI-NEOPLASIA ACTIVITY AND IMMUNOSUPPRESSION RESISTANCE,"As described below, the present invention features genetically modified immune cells having enhanced anti-neoplasia activity, resistance to immune suppression, and decreased risk of eliciting a graft versus host reaction, or a combination thereof. The present invention also features methods for producing and using these modified immune effector cells."
DUAL CHARGING SYSTEM FOR SELECTIVELY INTRODUCING NON-NATIVE AMINO ACIDS INTO PROTEINS USING AN IN VITRO SYNTHESIS METHOD,"This invention provides for a novel means of incorporating non-native amino acids into preselected positions of a protein using a cell-free synthesis system. The methods involve the use of non-orthogonal, native isoaccepting sense tRNAs that are encoded by the genetic code. Such methods allow for numerous non-native amino acids to be incorporated through the use of sense codons without having to rely upon orthogonal tRNA-synthetase pairs."
Modified amino acids,"Provided herein are modified amino acids comprising an azido group, polypeptides, antibodies and conjugates comprising the modified amino acids, and methods of producing the polypeptides, antibodies and conjugates comprising the modified amino acids. The polypeptides, antibodies and conjugates are useful in methods of treatment and prevention, methods of detection and methods of diagnosis."
MONO CHARGING SYSTEM FOR SELECTIVELY INTRODUCING NON-NATIVE AMINO ACIDS INTO PROTEINS USING AN IN VITRO PROTEIN SYNTHESIS SYSTEM,"This invention provides for a novel means of incorporating non-native amino acids into preselected positions of a protein using a cell-free synthesis system. The methods involve the use of non-orthogonal, native isoaccepting sense tRNAs that are encoded by the genetic code. Such methods allow for numerous non-native amino acids to be incorporated through the use of sense codons without having to rely upon orthogonal tRNA-synthetase pairs."
"Antibodies comprising site-specific non-natural amino acid residues, methods of their preparation and methods of their use","Provided herein are antibodies comprising non-natural amino acid residues at site-specific positions, compositions comprising the antibodies, methods of their production and methods of their use. The antibodies are useful for methods of treatment and prevention, methods of detection and methods of diagnosis."
"Antibodies comprising multiple site-specific non-natural amino acid residues, methods of their preparation and methods of their use","Provided herein are antibodies comprising multiple non-natural amino acid residues at site-specific positions, compositions comprising the antibodies, methods of their production and methods of their use. The antibodies are useful for methods of treatment and prevention, methods of detection and methods of diagnosis."
MONITORING A DYNAMIC SYSTEM BY LIQUID CHROMATOGRAPHY-MASS SPECTROMETRY,"The present invention provides a method for monitoring of profile changes of components in a dynamic system such as a cell-free in vitro protein synthesis system by using liquid chromatography (LC) combined with mass spectrometry (MS). In an additional aspect, this invention provides a method for enhancing the yield and/or reproducibility in a cell-free protein synthesis system by modulating the level and/or activity of a protein component that has regulatory effects on the system."
"Modified Fc proteins comprising site-specific non-natural amino acid residues, conjugates of the same, methods of their preparation and methods of their use","Provided herein are modified Fc proteins comprising non-natural amino acid residues at site-specific positions, conjugates of the modified Fc proteins for therapy or diagnosis, compositions comprising the modified Fc proteins and conjugates thereof, methods of their production and methods of their use. The modified Fc proteins and conjugates are useful for methods of treatment and prevention, methods of detection and methods of diagnosis."
USE OF DNA GYRASE INHIBITORS FOR IN VITRO POLYPEPTIDE SYNTHESIS REACTIONS,The present invention provides methods and compositions useful for in vitro polypeptide synthesis reactions. The methods involve the use of DNA gyrase inhibitors to prevent bacterial contamination in lysates used for in vitro production of polypeptides. The compositions include contamination-free cell lysates for in vitro protein synthesis reactions.
Use of LAMBDA-GAM protein in ribosomal display technology,"Methods and systems for increasing the stability of a nucleic acid template that encodes a protein of interest in a cell free translation system or a ribosomal display reaction system are described. In some embodiments, the nucleic acid template is an RNA or mRNA. The stability of the RNA template is increased by adding the bacteriophage lambda protein Gam to the cell free extract used in the translation system. The addition of Gam protein increases the longevity of the reaction system, thereby increasing the efficiency of the ribosomal display reaction system."
Non-natural amino acid tRNA synthetases for para-methylazido-L-phenylalanine,"The invention provides methods and compositions for a mutein aminoacyl-tRNA synthetase that preferentially charges a tRNA with a non-natural amino acid. Also provided are methods for incorporating the non-natural amino acid, para-methylazido-L-phenylalanine into a protein and further conjugating a biologically active adduct to the para-methylazido-L-phenylalanine."
"ANTI-PD-1 ANTIBODIES, COMPOSITIONS COMPRISING ANTI-PD-1 ANTIBODIES AND METHODS OF USING ANTI-PD-1 ANTIBODIES","Provided herein are antibodies that selectively bind to PD-1 and its isoforms and homologs, and compositions comprising the antibodies. Also provided are methods of using the antibodies, such as therapeutic and diagnostic methods."
"ANTIBODIES COMPRISING SITE-SPECIFIC NON-NATURAL AMINO ACID RESIDUES, METHODS OF THEIR PREPARATION AND METHODS OF THEIR USE","Provided herein are antibodies comprising non-natural amino acid residues at site-specific positions, compositions comprising the antibodies, methods of their production and methods of their use. The antibodies are useful for methods of treatment and prevention, methods of detection and methods of diagnosis."
Non-natural amino acid tRNA synthetases for pyridyl tetrazine,"The invention provides methods and compositions for a mutein aminoacyl-tRNA synthetase that preferentially charges a tRNA with a non-natural amino acid. Also provided are methods for incorporating the non-natural amino acids, pyridinyl-amino tetrazine amino acids, into a protein, and further conjugating a biologically active adduct to the pyridinyl-amino tetrazine."
Modified Amino Acids,"Provided herein are modified amino acids comprising an azido group, polypeptides, antibodies and conjugates comprising the modified amino acids, and methods of producing the polypeptides, antibodies and conjugates comprising the modified amino acids. The polypeptides, antibodies and conjugates are useful in methods of treatment and prevention, methods of detection and methods of diagnosis."
"Modified amino acids comprising tetrazine functional groups, methods of preparation, and methods of their use","Provided herein are modified amino acids comprising a tetrazine groups according to Formula I: polypeptides, antibodies, payloads and conjugates comprising these modified amino acid residues derived from the modified amino acids, and methods of producing the polypeptides, antibodies, payloads and conjugates comprising the modified amino acid residues. The polypeptides, antibodies, payloads and conjugates are useful in methods of treatment and prevention, methods of detection and methods of diagnosis."
Mono charging system for selectively introducing non-native amino acids into proteins using an in vitro protein synthesis system,"This invention provides for a novel means of incorporating non-native amino acids into preselected positions of a protein using a cell-free synthesis system. The methods involve the use of non-orthogonal, native isoaccepting sense tRNAs that are encoded by the genetic code. Such methods allow for numerous non-native amino acids to be incorporated through the use of sense codons without having to rely upon orthogonal tRNA-synthetase pairs."
Non-natural amino acid tRNA synthetases for pyridyl tetrazine,"The invention provides methods and compositions for a mutein aminoacyl-tRNA synthetase that preferentially charges a tRNA with a non-natural amino acid. Also provided are methods for incorporating the non-natural amino acids, pyridinyl-amino tetrazine amino acids, into a protein, and further conjugating a biologically active adduct to the pyridinyl-amino tetrazine."
Expression of biologically active proteins in a bacterial cell-free synthesis system using bacterial cells transformed to exhibit elevated levels of chaperone expression,"The present disclosure describes methods and systems for improving the expression of a properly folded, biologically active protein of interest in a cell free synthesis system. The methods and systems use a bacterial cell free extract having an active oxidative phosphorylation system, and include an exogenous protein chaperone. The exogenous protein chaperone can be expressed by the bacteria used to prepare the cell free extract. The exogenous protein chaperone can be a protein disulfide isomerase and/or a peptidyl-prolyl cis-trans isomerase. The inventors discovered that the combination of a protein disulfide isomerase and a peptidyl-prolyl cis-trans isomerase produces a synergistic increase in the amount of properly folded, biologically active protein of interest."
High growth capacity auxotrophic and methods of use,"This invention provides high growth capacity strains of auxotrophic Escherichia coli and methods for generating thereof. The high growth capacity strains express a complementing auxotrophic plasmid that allows the strain to grow in the absence of the auxotrophic amino acid. Also, provided herein is a method for preparing a bacterial cell extract of a high growth capacity strain of auxotrophic Escherichia coli for use in an in vitro protein expression."
Modified amino acids,"Provided herein are modified amino acids comprising an azido group, polypeptides, antibodies and conjugates comprising the modified amino acids, and methods of producing the polypeptides, antibodies and conjugates comprising the modified amino acids. The polypeptides, antibodies and conjugates are useful in methods of treatment and prevention, methods of detection and methods of diagnosis."
Modified amino acids,"Provided herein are modified amino acids comprising an azido group, polypeptides, antibodies and conjugates comprising the modified amino acids, and methods of producing the polypeptides, antibodies and conjugates comprising the modified amino acids. The polypeptides, antibodies and conjugates are useful in methods of treatment and prevention, methods of detection and methods of diagnosis."
Proteolytic inactivation of select proteins in bacterial extracts for improved expression,"The present disclosure provides modified proteins that are capable of being cleaved by the protease OmpT1. The proteins can be modified in an exposed surface motif to incorporate OmpT1 cleavage sites. Also provided are nucleic acids encoding the modified proteins, bacterial cells that express the modified proteins, and cell free synthesis systems containing modified RF1. The disclosure further provides methods for reducing the deleterious activity of a modified protein in a cell free synthesis system by contacting the modified protein with OmpT1. Also provided are methods for reducing RF1 competition at an amber codon in the cell free synthesis system, and methods for expressing a protein in the cell free synthesis system. The modified proteins of the invention can be used to increase the yield of proteins having non-natural amino acids incorporated at an amber codon."
"Modified amino acids comprising tetrazine functional groups, methods of preparation, and methods of their use","Provided herein are modified amino acids comprising a tetrazine groups according to Formula I: polypeptides, antibodies, payloads and conjugates comprising these modified amino acid residues derived from the modified amino acids, and methods of producing the polypeptides, antibodies, payloads and conjugates comprising the modified amino acid residues. The polypeptides, antibodies, payloads and conjugates are useful in methods of treatment and prevention, methods of detection and methods of diagnosis."
Compositions and methods for treating hemoglobinopathies,"The present invention features compositions and methods for editing deleterious mutations associated with hemoglobinopathies, such as sickle cell disease (SCD). In particular embodiments, the invention provides methods for correcting mutations in a beta globin polynucleotide using modified adenosine base editors termed “ABE8” having unprecedented levels (e.g., >60-70%) of efficiency."
NUCLEOBASE EDITORS HAVING REDUCED OFF-TARGET DEAMINATION AND METHODS OF USING SAME TO MODIFY A NUCLEOBASE TARGET SEQUENCE,"The invention features nucleobase editors and multi-effector nucleobase editors having an improved editing profile with minimal off-target deamination, compositions comprising such editors, and methods of using the same to generate modifications in target nucleobase sequences."
ADENOSINE DEAMINASE BASE EDITORS AND METHODS OF USING SAME TO MODIFY A NUCLEOBASE IN A TARGET SEQUENCE,"The disclosure provides compositions comprising novel adenosine base editors (e.g., ABE8) that have increased efficiency and methods of using these adenosine deaminase variants for editing a target sequence."
COMPOSITIONS AND METHODS FOR TREATING HEMOGLOBINOPATHIES,"The present invention features compositions and methods for editing deleterious mutations associated with hemoglobinopathies, such as sickle cell disease (SCD). In particular embodiments, the invention provides methods for correcting mutations in a beta globin polynucleotide using modified adenosine base editors termed “ABE8” having unprecedented levels (e.g., >60-70%) of efficiency."
COMPOSITIONS AND METHODS FOR TREATING HEMOGLOBINOPATHIES,"The present invention features compositions and methods for editing deleterious mutations associated with hemoglobinopathies, such as sickle cell disease (SCD). In particular embodiments, the invention provides methods for correcting mutations in a beta globin polynucleotide using modified adenosine base editors termed “ABE8” having unprecedented levels (e.g., >60-70%) of efficiency."
METHODS OF EDITING A SINGLE NUCLEOTIDE POLYMORPHISM USING PROGRAMMABLE BASE EDITOR SYSTEMS,"Described are compositions and methods for altering mutations associated with Rett Syndrome (RETT). Provided herein are compositions and methods of using base editors (e.g., ABE8) comprising a polynucleotide programmable nucleotide binding domain and a nucleobase editing domain in conjunction with a guide polynucleotide. Also provided herein are base editor systems for editing nucleobases of target nucleotide sequences."
COMPOSITIONS AND METHODS FOR EDITING A MUTATION TO PERMIT TRANSCRIPTION OR EXPRESSION,"The present invention features compositions and methods for editing a gene associated with Shwachman Diamond Syndrome (SDS) using a programmable nucleobase editor, such that the gene is permissive for transcription and generates a functional gene product (e.g., providing a splice site and/or altering a nonsense mutation)."
PROCESSES FOR PURIFYING DOWNSTREAM PRODUCTS OF IN VITRO TRANSCRIPTION,"Provided herein, in some embodiments, are methods of purifying low-salt RNA compositions using denaturing oligo-dT chromatography."
METHODS OF SUBSTITUTING PATHOGENIC AMINO ACIDS USING PROGRAMMABLE BASE EDITOR SYSTEMS,Provided herein are compositions and methods of using base editors comprising a polynucleotide programmable nucleotide binding domain and a nucleobase editing domain in conjunction with a guide polynucleotide. Also provided herein are base editor systems for editing nucleobases of target nucleotide sequences.
RNA polymerase variants for co-transcriptional capping,The present disclosure provides RNA polymerase variants for high efficiency transcription.
HUMAN CYTOMEGALOVIRUS VACCINE,"Aspects of the invention relate to methods for producing an antigen-specific immune response to human cytomegalovirus (hCMV) in a subject by administering mRNA vaccines comprising hCMV antigenic polypeptides gH, gL, UL128, UL130, UL131 A and gB formulated in lipid nanoparticles, wherein the antigen-specific immune response to hCMV results in neutralizing antibodies that have i) a geometric mean titer of at least 3-fold against epithelial cell infection or ii) a geometric mean ratio of 9-41 against epithelial cell infection or iii) a geometric mean ratio of 4-8-fold against fibroblast infection."
Zoonotic disease RNA vaccines,"Provide herein are Lassa virus, Nipah virus, and betacoronavirus ribonucleic acid vaccines as well as methods of using the vaccines and compositions comprising the vaccines."
COMPOSITIONS AND METHODS FOR TREATMENT OF LIQUID CANCERS,"As described below, the present invention features genetically modified immune cells having enhanced anti-neoplasia activity, resistance to immune suppression, and decreased risk of eliciting a graft versus host reaction, or a combination thereof. The present invention also features methods for producing and using these modified immune effector cells."
COMPOSITIONS AND METHODS FOR NON-TOXIC CONDITIONING,"The invention features compositions and methods for conditioning a patient (e.g., to facilitate transplantation and/or engraftment). The invention provides a base editing strategy targeting cell surface proteins that is useful for conditioning. In one aspect, the invention provides methods of producing a hematopoietic stem cell or progenitor thereof for the treatment of a hemoglobinopathy, hematologic cancer, or myeloproliferative disease."
Lipid nanoparticle compositions and methods of formulating the same,Provided herein are compositions and methods of reducing adduct formation.
HUMAN CYTOMEGALOVIRUS VACCINE,Aspects of the disclosure relate to methods for producing an antigen-specific immune response to human cytomegalovirus (hCMV) in a subject by administering mRNA vaccines.
Polynucleotides encoding methylmalonyl-CoA mutase,"The disclosure relates to polynucleotides comprising an open reading frame of linked nucleosides encoding human methylmalonyl-CoA mutase precursor, human methylmalonyl-CoA mutase (MCM) mature form, or functional fragments thereof. In some embodiments, the disclosure includes methods of treating methylmalonic acidemia in a subject in need thereof comprising administering an mRNA encoding an MCM polypeptide."
HMPV MRNA VACCINE COMPOSITION,"Provided herein are vaccine composition comprising a chemically-modified messenger ribonucleic acid (mRNA) encoding a hMPV fusion (F) glycoprotein and a chemically-modified mRNA encoding a hPIV3 F glycoprotein formulated in a cationic lipid nanoparticle formulation, and related method for inducing an antigen-specific immune response."
VARICELLA ZOSTER VIRUS (VZV) VACCINE,Aspects of the disclosure relate to nucleic acid vaccines. The vaccines include at least one RNA polynucleotides having a open reading reading frame encoding at least varicella zoster virus (VZV) antigen. Methods for preparing and using such vaccines are also described.
